epoch,accuracy
1,0.7967
2,0.8546
3,0.9000
4,0.8993
5,0.9267
6,0.9379
7,0.9472
8,0.9524
9,0.9607
10,0.9617
11,0.9626
12,0.9625
13,0.9672
14,0.9686
15,0.9669
16,0.9680
17,0.9672
18,0.9674
19,0.9703
20,0.9716
21,0.9684
22,0.9683
23,0.9713
24,0.9711
25,0.9703
26,0.9694
27,0.9665
28,0.9666
29,0.9707
30,0.9688
31,0.9698
32,0.9705
33,0.9717
34,0.9705
35,0.9701
36,0.9698
37,0.9704
38,0.9688
39,0.9675
40,0.9687
41,0.9735
42,0.9710
43,0.9697
44,0.9678
45,0.9694
46,0.9700
47,0.9742
48,0.9720
49,0.9701
50,0.9687
